Feedback_ID,label,comment
1,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
2,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
3,complaint,"There is no proper drainage system, leading to frequent waterlogging."
4,complaint,"Streetlights are not maintained, making roads unsafe at night."
5,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
6,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
7,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
8,complaint,Public parks are not maintained well and are often dirty.
9,complaint,"Electricity outages happen frequently, and no proper response from authorities."
10,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
11,complaint,"Electricity outages happen frequently, and no proper response from authorities."
12,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
13,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
14,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
15,complaint,Public parks are not maintained well and are often dirty.
16,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
17,complaint,"Electricity outages happen frequently, and no proper response from authorities."
18,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
19,complaint,Public parks are not maintained well and are often dirty.
20,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
21,complaint,Public parks are not maintained well and are often dirty.
22,complaint,"Public transportation is overcrowded, making travel uncomfortable."
23,complaint,"Public transportation is overcrowded, making travel uncomfortable."
24,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
25,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
26,complaint,"Public transportation is overcrowded, making travel uncomfortable."
27,complaint,"There is no proper drainage system, leading to frequent waterlogging."
28,complaint,"Streetlights are not maintained, making roads unsafe at night."
29,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
30,complaint,"Electricity outages happen frequently, and no proper response from authorities."
31,complaint,"Streetlights are not maintained, making roads unsafe at night."
32,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
33,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
34,complaint,"Public transportation is overcrowded, making travel uncomfortable."
35,complaint,Public parks are not maintained well and are often dirty.
36,complaint,Public parks are not maintained well and are often dirty.
37,complaint,"Public transportation is overcrowded, making travel uncomfortable."
38,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
39,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
40,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
41,complaint,"Public transportation is overcrowded, making travel uncomfortable."
42,complaint,Public parks are not maintained well and are often dirty.
43,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
44,complaint,"Streetlights are not maintained, making roads unsafe at night."
45,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
46,complaint,"There is no proper drainage system, leading to frequent waterlogging."
47,complaint,"Public transportation is overcrowded, making travel uncomfortable."
