comment,label
"I'm frustrated by the constant delays with the 42 bus route. It's been unreliable for months now.",complaint
"Could you please tell me when the new library on Maple Street is scheduled to open?",inquiry
"I want to express my sincere appreciation for the road crew who worked tirelessly during the snowstorm last week. They kept our streets safe.",compliment
"The city should consider installing solar-powered lights in the central park for improved safety and sustainability.",suggestion
"Why hasn't anyone fixed the large pothole on Oak Avenue? It's been there for three months and has damaged multiple cars.",complaint
"I'd like to know what documents I need to bring when applying for a permit to renovate my kitchen.",inquiry
"The new online portal for property tax payments is incredibly user-friendly. Thanks for making this process so much easier!",compliment
"I suggest adding more recycling bins in public areas, especially near restaurants and parks.",suggestion
"The noise from construction on Main Street starts way before the permitted 7AM time. This is unacceptable!",complaint
"What are the requirements for enrolling my child in the summer recreation program?",inquiry
"The staff at the DMV was exceptionally helpful and patient with me yesterday. They deserve recognition for their excellent service.",compliment
"My suggestion is to implement a text alert system for water main breaks and boil water advisories.",suggestion
"I've called three times about overgrown trees blocking traffic signals on Harrison Boulevard and nothing has been done.",complaint
"Could you explain how the new property assessment method will affect residential tax rates?",inquiry
"I want to commend Officer Johnson for his compassionate handling of the situation at Lincoln Park yesterday. He showed true professionalism.",compliment
"Have you considered creating dedicated bicycle lanes on Cedar Street? It would improve safety for cyclists and reduce traffic congestion.",suggestion
"The public pool has been closed for 'maintenance' for two weeks now, during the hottest part of summer. This is ridiculous!",complaint
"I'm trying to find information about small business grants offered by the city. Where can I access the application forms?",inquiry
"The recent improvements to the riverfront park are absolutely beautiful. The new walking paths and seating areas have transformed the space.",compliment
"I suggest expanding the hours of the downtown parking garage to accommodate evening events at the performing arts center.",suggestion
"My trash wasn't collected for the second week in a row despite my calls to the sanitation department.",complaint
"What steps is the city taking to address homelessness, especially with winter approaching?",inquiry
"The new online system for scheduling building inspections has saved me hours of time. Thank you for this improvement!",compliment
"I'd like to propose implementing a composting program for residential food waste to reduce landfill usage.",suggestion
"The water bill this month is three times higher than normal with no explanation or apparent leak.",complaint
"Could you provide information about the upcoming town hall meeting? I'd like to know the agenda and how to participate.",inquiry
"I'm impressed by how quickly the graffiti removal team responded to my report. They had it cleaned up within 24 hours!",compliment
"A suggestion for the transit authority: create a mobile app that shows real-time bus locations and arrival estimates.",suggestion
"The sidewalk on Washington Street has been damaged for months and poses a serious hazard for pedestrians, especially the elderly.",complaint
"How do I appeal my property tax assessment? I believe there's been an error in the calculation.",inquiry
"The park cleanup volunteers did an amazing job last weekend. The difference is remarkable!",compliment
"I recommend implementing a city-wide free WiFi network in public spaces to bridge the digital divide.",suggestion
"The streetlights on Elm Street have been out for weeks now, making it dangerous to walk at night.",complaint
"What is the process for obtaining a permit for a block party in my neighborhood?",inquiry
"I'd like to thank the city planner who designed the new community center. It's beautiful and functional!",compliment
"It would be beneficial to create more affordable housing options near the industrial district where many people work.",suggestion
"The noise ordinance isn't being enforced in my neighborhood. Parties routinely go past 2AM on weeknights.",complaint
"How can I find out which recycling items are accepted in the new blue bins?",inquiry
"The library staff has been exceptionally helpful with the new digital literacy program for seniors.",compliment
"I suggest implementing a composting program for local restaurants to reduce food waste going to landfills.",suggestion
"The condition of Pioneer Park's playground equipment is dangerous. Several pieces are broken and have sharp edges.",complaint
"Where can I find information about water conservation rebates for homeowners?",inquiry
"The new farmers market downtown has really revitalized the area. Thank you for supporting local agriculture!",compliment
"I propose extending the hours of the community pool during summer months to accommodate working families.",suggestion
"Our street has requested speed bumps three times due to dangerous drivers, but we've received no response.",complaint
"Can you explain the new zoning regulations for home-based businesses?",inquiry
"I want to commend the animal control officer who helped rescue a stray dog from our neighborhood yesterday. Very professional!",compliment
"The city could benefit from creating a centralized volunteer coordination system for community projects.",suggestion
"The snow removal service this winter has been abysmal. Some residential streets haven't been plowed for days after storms.",complaint
